update,loss,win_rate,win_rate_black,win_rate_white,avg_game_length,entropy,value_loss,raw_value_mse,tactics_wins,tactics_blocks,tactics_synth_wins_eq,tactics_synth_wins_missed,tactics_synth_blocks,imitation_black,imitation_white,win_miss_ema,block_miss_ema,win_boost,block_boost,cf_attempted,cf_candidates_avg,cf_added,cf_winrate_avg,cf_orig_winrate_avg,cf_entropy_avg,time_total,time_selfplay,time_train,learning_rate
8,3.2218414325616322,0.857421875,0.8525798491188958,0.8603657916157916,65.634765625,4.567131309405237,0.07820488652760105,0.07742285536700375,439,4,407,3689,485,0,0,0.9943793089111692,0.9915934728705413,0.999982395728977,0.7499461597585918,0,0.0,0,0.0,0.0,0.0,28.11011990904808,5.527267724275589,22.582522571086884,0.00012205710845591966
16,3.2513630948378704,0.978515625,0.9823197700132684,0.9746962227177172,19.921875,3.357139043733499,0.11282859108177945,0.11020282041040018,501,0,609,2029,10,0,0,0.9690922199017689,0.9613378096414584,0.9993725583078659,0.7492749376080081,0,0.0,0,0.0,0.0,0.0,8.911612033843994,1.1099807024002075,7.801336407661438,0.00012205709572299384
24,2.652679336079018,0.96484375,0.9752083918081402,0.9540913331512977,12.8515625,2.7241956181384133,0.14858776844630484,0.1451446067774725,494,0,291,207,9,0,0,0.9229349080472421,0.9482467744639107,0.9950943752363414,0.7479594435866794,0,0.0,0,0.0,0.0,0.0,4.5888486206531525,0.7277084589004517,3.860850542783737,0.00012205707025714219
32,2.073486926732585,0.96484375,0.9714793772238626,0.9562457691409898,10.328125,2.12819408463544,0.16810738240019418,0.16609563251246956,494,0,385,60,8,0,0,0.8709911810975397,0.9207479908298357,0.9849916599711883,0.7461117812979612,0,0.0,0,0.0,0.0,0.0,3.738541394472122,0.5690652430057526,3.169183313846588,0.00012205705752421636
40,1.5504896303173155,0.947265625,0.9821954509454509,0.9056695003192848,9.361328125,1.5368804591416771,0.16151719198023784,0.16094568792987135,485,0,424,16,4,0,0,0.8193323678886987,0.8877658993250397,0.9696029737432391,0.7404032667655869,0,0.0,0,0.0,0.0,0.0,3.425467163324356,0.48257410526275635,2.9425922632217407,0.00012205703205836471
48,1.3228829589206725,0.900390625,0.9744644413999253,0.8275189449758416,9.20703125,1.5685719209739888,0.132363114375039,0.13190124866001013,461,0,394,11,15,0,0,0.7703770042942443,0.8796262691495501,0.9499582209831479,0.7389608101277829,0,0.0,0,0.0,0.0,0.0,3.3490219712257385,0.47887906432151794,2.8698432445526123,0.00012205701932543889
56,1.2274976875633001,0.8984375,0.9623435034977375,0.8392347558581077,8.978515625,1.4034816257908527,0.11540819355286658,0.11465477481689523,460,0,395,6,12,0,0,0.7240367432021193,0.8719816706014557,0.9268885652690376,0.7375141511916061,0,0.0,0,0.0,0.0,0.0,3.25006964802742,0.4699980616569519,2.7797595262527466,0.00012205699385958724
64,1.0373527854681015,0.85546875,0.9331800144300145,0.7817068533162396,8.86328125,1.3940927087822232,0.10116296331398189,0.10011561318031414,438,0,382,3,13,0,0,0.680256458326231,0.8797674201468588,0.9011606937527039,0.7389866841964133,0,0.0,0,0.0,0.0,0.0,3.7390871047973633,0.4574071168899536,3.2813616394996643,0.00012205698112666141
72,0.919876023195684,0.833984375,0.9440607492997198,0.6995039372505217,8.73828125,1.2828221415745986,0.08855189685709774,0.08734703880549302,427,0,367,6,17,0,0,0.6393099682167998,0.887079660185705,0.8735087420711501,0.7402855523200002,0,0.0,0,0.0,0.0,0.0,3.142660140991211,0.4521373212337494,2.6902160942554474,0.00012205695566080976
80,0.7840709984302521,0.7578125,0.9102806142000208,0.6049891193128691,8.84765625,1.4119980393950065,0.0844529583118856,0.08281231782347229,388,0,337,6,22,0,0,0.6008974906563611,0.886552050247882,0.8442278412867308,0.7401945605072378,0,0.0,0,0.0,0.0,0.0,3.0953133404254913,0.44366195797920227,2.6513635516166687,0.00012205693656142103
88,0.6886460264213383,0.765625,0.8999609459168283,0.6329721362229103,8.73046875,1.2806871855182558,0.06520202849060297,0.06316867655462799,392,0,329,3,30,0,0,0.5646643214824737,0.8860565282060099,0.8143342364131171,0.7401087163354343,0,0.0,0,0.0,0.0,0.0,3.096161872148514,0.45671263337135315,2.6391627490520477,0.00012205691746203229
96,0.5417376987170428,0.705078125,0.8618760035031382,0.5475854385641403,8.671875,1.30091569402602,0.0626393718412146,0.06071643065872112,361,0,307,2,28,0,0,0.5306482954916046,0.8929862806710643,0.7836137344724159,0.74127525630236,0,0.0,0,0.0,0.0,0.0,3.000544100999832,0.43609195947647095,2.5641456246376038,0.00012205689836264355
104,0.54267512797378,0.708984375,0.9064073751825767,0.5101609319395728,8.67578125,1.1766636466121925,0.05961882136762142,0.05830902606243332,363,0,308,7,16,0,0,0.4990156588579744,0.8994945831972074,0.7527660481155991,0.7423042190305185,0,0.0,0,0.0,0.0,0.0,3.0064768195152283,0.4430747926235199,2.563092917203903,0.00012205687926325481
112,0.4235744377365336,0.662109375,0.902397581289569,0.42637542920393967,8.806640625,1.186272489099613,0.0690611157915555,0.06889247630191396,339,0,299,2,19,0,0,0.4688390490801801,0.9056070672989708,0.7217761324262144,0.7432118298505143,0,0.0,0,0.0,0.0,0.0,3.0463213324546814,0.4635789394378662,2.5824447870254517,0.00012205686016386608
120,0.1913052672316553,0.609375,0.8725181472060459,0.3857859884054737,8.640625,1.1067336579484777,0.07563014037441462,0.07470940530109396,312,0,254,2,33,0,0,0.4405278415437984,0.9113478056472926,0.6908601799407821,0.744012400539841,0,0.0,0,0.0,0.0,0.0,2.939434379339218,0.4468090832233429,2.4923075735569,0.00012205684106447734
128,0.24368897976819426,0.625,0.9058640185507758,0.34772547677409293,8.587890625,0.9757465848123537,0.07573595049325377,0.07415829705038737,320,0,264,1,31,0,0,0.4139286742514494,0.9167394068744246,0.6603301203790054,0.7447185549999785,0,0.0,0,0.0,0.0,0.0,3.4427419304847717,0.41958320140838623,3.0228386223316193,0.00012205681559862569
136,0.05430776617868105,0.55859375,0.8399772259345762,0.2679028713374688,8.546875,0.7498363177754124,0.08603000035509467,0.08428771087564352,286,1,251,2,34,0,0,0.3889362701494805,0.9202888635078672,0.6303344927246552,0.7451592599310993,0,0.0,0,0.0,0.0,0.0,2.8843344151973724,0.4455263614654541,2.4384879767894745,0.00012205680286569986
144,-1.365528080612421,0.4765625,0.7023513981383838,0.255829642505197,8.681640625,0.6063913582259687,0.1509790860582143,0.14940047726043032,244,0,210,0,101,0,0,0.36528215434642314,0.9251366923119373,0.6007761821247717,0.745730158203899,0,0.0,0,0.0,0.0,0.0,2.9672007262706757,0.45741328597068787,2.5094633996486664,0.00012205677739984822
152,-2.97580767609179,0.341796875,0.5221103834111342,0.1706093951546738,8.705078125,0.5257173347207894,0.20894097071141005,0.20743362733252724,175,0,144,3,118,0,0,0.34398595397052006,0.9296896884847364,0.5731919299273526,0.7462337269293057,0,0.0,0,0.0,0.0,0.0,2.8600501716136932,0.45197799801826477,2.4077799022197723,0.00012205676466692239
160,-2.89394935593009,0.3828125,0.5869626322751322,0.17181796559490525,8.708984375,0.4065161198489675,0.1348923045443371,0.13561367767800722,196,0,166,0,79,0,0,0.32306560219485086,0.9339657829978346,0.5451973534762962,0.7466779066952809,0,0.0,0,0.0,0.0,0.0,2.892061322927475,0.47921720147132874,2.4125742316246033,0.00012205673920107074
168,-2.9989561811089516,0.4140625,0.6619684932184933,0.17336665559549086,8.720703125,0.5869218514204668,0.09029480413300917,0.09095338087700042,212,0,172,14,88,0,0,0.30627802203446375,0.9379818163066671,0.5200465634327366,0.7470697016073704,0,0.0,0,0.0,0.0,0.0,2.943645089864731,0.4761989712715149,2.4671641886234283,0.000122056720101682
176,-5.791601724922657,0.150390625,0.19112780025252218,0.10856232043280152,9.03125,0.4067036981031596,0.08137906523188576,0.08127875989809293,77,0,67,13,50,0,0,0.2943227907237101,0.9417536046729554,0.5022596389660497,0.7474152897338404,0,0.0,0,0.0,0.0,0.0,2.8025242388248444,0.48657122254371643,2.3156580924987793,0.00012205670100229327
184,-6.465799055993557,0.125,0.14813970769853124,0.10145129098214226,8.947265625,0.18892383770875643,0.04758920126914745,0.04749708003596531,64,0,53,3,40,0,0,0.2777473678740431,0.9452960024535663,0.48150546692336393,0.7477201205253382,0,0.0,0,0.0,0.0,0.0,2.748568743467331,0.4978979527950287,2.2503909170627594,0.00012205668190290453
192,-3.243759948760271,0.361328125,0.5192949781765571,0.17072107902990255,8.810546875,0.6259722285964145,0.07051621284335852,0.07066116341151354,185,0,157,10,28,0,0,0.2634130773141698,0.9411109051184006,0.4594388710682493,0.747357934869209,0,0.0,0,0.0,0.0,0.0,3.306637614965439,0.4521484971046448,2.854184925556183,0.00012205666280351579
200,-2.598514012992382,0.447265625,0.6987357139182266,0.20232175978143718,8.6328125,0.7383767188640833,0.13438451499678195,0.1348351099300776,229,0,191,21,36,0,0,0.25011864610760587,0.9446923902530506,0.44027079602430474,0.7476695298729323,0,0.0,0,0.0,0.0,0.0,2.8652104139328003,0.4529239535331726,2.4120127260684967,0.00012205663733766414
208,-3.0057084783911705,0.431640625,0.7493949562234499,0.16594219334157415,8.5859375,0.7255444613650575,0.1243497213581577,0.12485061566078313,221,0,183,7,28,0,0,0.2364981145196496,0.9406609204457959,0.4183394419671369,0.7473174033888997,0,0.0,0,0.0,0.0,0.0,2.796169251203537,0.43812841176986694,2.3577556908130646,0.00012205662460473832
216,-2.9881494343280792,0.451171875,0.740889693443683,0.16140399786779058,8.69140625,0.678525621623802,0.09174841444473714,0.09231492340853559,231,0,200,6,29,0,0,0.22318293886147622,0.9442697725049841,0.3987516396500702,0.7476337785195816,0,0.0,0,0.0,0.0,0.0,2.870334416627884,0.43361181020736694,2.436439663171768,0.00012205659913888667
224,-2.6854591481387615,0.486328125,0.8494116296379227,0.16035372832580105,8.65234375,0.5664850983158904,0.09388996288180351,0.09448877608490988,249,0,225,0,28,0,0,0.20960951954764603,0.9476591433507302,0.37788919379441444,0.7479128415837009,0,0.0,0,0.0,0.0,0.0,2.888206124305725,0.4583849608898163,2.429528683423996,0.00012205658003949793
